pixel_m,mangrove_ha,pond_aquaculture_ha,remnant_mangrove_ha,remnant_in_pond_matrix_ha,remnant_adj_pond_45m_ha,pond_with_nearby_mangrove_ha,pct_ponds_with_remnant_interface,has_remnant_in_aquaculture,country,year,source_tif
120.0,451409.76,215978.4,616.3199999999999,365.76,614.88,681.12,0.31536486982031536,True,Bangladesh,2022,scripts/outputs/agb_stability/shrimppond/_extracted/Bangladesh_Landcover_Change_Maps_1999_2014_2018_2020_2022/Bangladesh_Landcover_2022_v1exp.tif
960.0,1060208.64,25620.48,13178.88,1751.04,13178.88,10506.24,41.007194244604314,True,Brazil,2022,scripts/outputs/agb_stability/shrimppond/_extracted/brazil_landcover_change_maps_1999_2014_2018_2020_2022/brazil_landcover_2022_v1exp.tif
60.0,46329.479999999996,1845.0,145.79999999999998,91.08,140.04,136.79999999999998,7.414634146341464,True,Cambodia,2022,scripts/outputs/agb_stability/shrimppond/_extracted/Cambodia_Landcover_Change_Maps_1999_2014_2018_2020_2022/Cambodia_Landcover_2022_v1exp.tif
480.0,18892.8,1122462.72,9216.0,4285.44,9192.96,11934.72,1.0632620386715383,True,China,2022,scripts/outputs/agb_stability/shrimppond/_extracted/china_landcover_change_maps_1999_2014_2018_2020_2022/china_landcover_2022_v1exp.tif
120.0,151367.04,193245.12,33985.44,23358.239999999998,33919.2,37552.32,19.432480364834053,True,Ecuador,2022,scripts/outputs/agb_stability/shrimppond/_extracted/ecuador_landcover_change_maps_1999_2014_2018_2020_2022_2024/ecuador/Ecuador_Landcover_2022_v1exp.tif
60.0,33979.32,903.24,226.44,156.96,210.95999999999998,199.07999999999998,22.040653646871263,True,El Salvador,2022,scripts/outputs/agb_stability/shrimppond/_extracted/elsalvador_landcover_change_maps_1999_2014_2018_2020_2022/el_salvador_landcover_2022_v1exp.tif
120.0,46357.92,24649.92,5424.48,3463.2,5407.2,5709.599999999999,23.162752658020796,True,Honduras,2022,scripts/outputs/agb_stability/shrimppond/_extracted/honduras_landcover_change_maps_1999_2014_2018_2020_2022/honduras_landcover_2022_v1exp.tif
480.0,405319.68,469670.39999999997,16220.16,5990.4,16151.039999999999,17763.84,3.7821927888153053,True,India,2022,scripts/outputs/agb_stability/shrimppond/_extracted/india_landcover_change_maps_1999_2014_2018_2020_2022/india_landcover_2022_v1exp.tif
960.0,3225692.1599999997,839116.7999999999,222013.44,129576.95999999999,220723.19999999998,273623.04,32.60845689181768,True,Indonesia,2022,scripts/outputs/agb_stability/shrimppond/_extracted/indonesia_landcover_change_maps_1999_2014_2018_2020_2022_2024/indonesia/Indonesia_Landcover_2022_v2exp.tif
480.0,600837.12,17579.52,10460.16,1589.76,10460.16,8017.92,45.60943643512451,True,Malaysia,2022,scripts/outputs/agb_stability/shrimppond/_extracted/Malaysia_Landcover_Change_Maps_1999_2014_2018_2020_2022/malaysia_landcover_2022_v1exp.tif
960.0,539228.16,125245.44,27371.52,11612.16,27371.52,28200.96,22.516556291390728,True,Mexico,2022,scripts/outputs/agb_stability/shrimppond/_extracted/mexico_landcover_change_maps_1999_2014_2018_2020_2022/Mexico_Landcover_2022_v1exp.tif
240.0,636888.96,15661.439999999999,3312.0,1831.6799999999998,3300.48,3674.8799999999997,23.464509010665687,True,Myanmar,2022,scripts/outputs/agb_stability/shrimppond/_extracted/myanmar_landcover_change_maps_1999_2014_2018_2020_2022_2024/myanmar/Myanmar_Landcover_2022_v1exp.tif
120.0,53346.24,20900.16,4613.76,2813.7599999999998,4605.12,4730.4,22.63331955353452,True,Nicaragua,2022,scripts/outputs/agb_stability/shrimppond/_extracted/nicaragua_landcover_change_maps_1999_2014_2018_2020_2022/Nicaragua_Landcover_2022_v1exp.tif
480.0,261895.68,150312.96,28984.32,10782.72,28846.079999999998,31380.48,20.876762722256284,True,Philippines,2022,scripts/outputs/agb_stability/shrimppond/_extracted/Philippines_Change_Persistence_Maps_1999_to_2022/Philippines_Landcover_2022_v1exp.tif
120.0,15431.039999999999,5100.48,715.68,480.96,714.24,901.4399999999999,17.673630717108978,True,Sri Lanka,2022,scripts/outputs/agb_stability/shrimppond/_extracted/SriLanka_Landcover_Change_Maps_1999_2014_2018_2020_2022/sri_lanka_landcover_2022_v1exp.tif
240.0,263203.2,261354.24,43908.479999999996,23120.64,43695.36,48804.479999999996,18.673689778287123,True,Thailand,2022,scripts/outputs/agb_stability/shrimppond/_extracted/thailand_landcover_change_maps_1999_2014_2018_2020_2022_2024/thailand/Thailand_Landcover_2022_v1exp.tif
480.0,191255.03999999998,851443.2,94579.2,68405.76,93611.51999999999,136373.76,16.016777161412527,True,Vietnam,2022,scripts/outputs/agb_stability/shrimppond/_extracted/vietnam_landcover_change_maps_1999_2014_2018_2020_2022_2024/vietnam/Vietnam_Landcover_2022_v2exp.tif
